"","Macroplot","MonStatusOrd","MonStatus","Species","SciName","CommName","Individuals","Sapling","Seedling","Snag","Total","BA","LiCrBHt","Height","QMD","CrFuBHt","CrScPct","ScorchHt","CharHt","LiveSeedling","DeadSeedling","LiveSapling","DeadSapling","BASapling"
"33","FPICO1T08:10",4,"01PostBurnYear00","PRVI","Prunus virginiana","chokecherry, chokecherry (common), common chokecherry, Virginia chokecherry",4.04694455685957,NA,NA,0,4.04694455685957,0.0249409326858212,NA,13.1232,1.06299,NA,0,0,0,NA,NA,NA,NA,NA
"34","FPICO1T08:10",5,"01PostBurnYear01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,NA,NA,40.4694455685957,238.769728854715,60.3622574038961,NA,21.7938857142857,6.80815703498858,NA,0,0,0,NA,NA,NA,NA,NA
"35","FPICO1T08:10",5,"01PostBurnYear01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,NA,NA,0,12.1408336705787,1.75900289864034,NA,21.3252,5.15401269616209,NA,0,0,0,NA,NA,NA,NA,NA
"36","FPICO1T08:10",5,"01PostBurnYear01","POTR5","Populus tremuloides","quaking aspen",8.09388911371914,NA,NA,0,8.09388911371914,1.51222793641424,NA,32.808,5.85283747326457,NA,0,0,0,NA,NA,NA,NA,NA
"37","FPICO1T08:10",5,"01PostBurnYear01","PRVI","Prunus virginiana","chokecherry, chokecherry (common), common chokecherry, Virginia chokecherry",4.04694455685957,NA,NA,0,4.04694455685957,0.0249409326858212,NA,13.1232,1.06299,NA,0,0,0,NA,NA,NA,NA,NA
"38","FPICO1T08:10",6,"01PostBurnYear02","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",214.488061513557,NA,NA,56.657223796034,214.488061513557,58.094993193897,NA,21.4743272727273,7.04699967737883,NA,0,0,0,NA,NA,NA,NA,NA
"39","FPICO1T08:10",6,"01PostBurnYear02","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,NA,NA,0,12.1408336705787,1.85743234080373,NA,21.3252,5.29625281678471,NA,0,0,0,NA,NA,NA,NA,NA
"40","FPICO1T08:10",6,"01PostBurnYear02","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,NA,NA,8.09388911371914,4.04694455685957,1.00040852217572,NA,NA,6.73227,NA,0,0,0,NA,NA,NA,NA,NA
"41","FPICO1T08:10",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,NA,NA,0,4.04694455685957,0.0231276687182649,NA,9.8424,1.02362,NA,0,0,0,NA,NA,NA,NA,NA
"42","FPICO1T08:10",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",218.535006070417,NA,NA,44.5163901254553,218.535006070417,59.6218983046901,NA,24.2493913043478,7.07259604186364,NA,0,0,0,NA,NA,NA,NA,NA
