Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:10",6,"01PostBurnYear02","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",214.488061513557,,,56.657223796034,214.488061513557,58.094993193897,,21.4743272727273,7.04699967737883,,0,0,0,,,,,
"FPICO1T08:10",6,"01PostBurnYear02","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,1.85743234080373,,21.3252,5.29625281678471,,0,0,0,,,,,
"FPICO1T08:10",6,"01PostBurnYear02","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,,,8.09388911371914,4.04694455685957,1.00040852217572,,,6.73227,,0,0,0,,,,,
"FPICO1T08:10",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,0.0231276687182649,,9.8424,1.02362,,0,0,0,,,,,
"FPICO1T08:10",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",218.535006070417,,,44.5163901254553,218.535006070417,59.6218983046901,,24.2493913043478,7.07259604186364,,0,0,0,,,,,
"FPICO1T08:10",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,1.88747094011532,,26.2464,5.33890684741424,,0,0,0,,,,,
"FPICO1T08:10",7,"01PostBurnYear05","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,,,8.09388911371914,4.04694455685957,1.0121434191733,,,6.77164,,0,0,0,,,,,
"FPICO1T08:10",16,"02PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,139.113719142048,0,0,,,,,,,,,,,,
"FPICO1T08:11",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",157.830837717523,,,12.1408336705787,157.830837717523,17.429298531317,,22.658025,4.49966813799042,,,,,,,,,
"FPICO1T08:11",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",44.5163901254553,,,36.4225010117361,44.5163901254553,17.175681063553,,18.5912,8.41072580215881,,,,,,,,,
"FPICO1T08:11",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",93.0797248077701,,,8.09388911371914,93.0797248077701,21.5476315519696,,19.6848,6.51491398577575,,,,,,,,,
"FPICO1T08:11",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",0,,,37.9401052205585,0,0,,,,,,,,,,,,
"FPICO1T08:11",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,278.227438284096,0,0,,,,,,,,,,,,
"FPICO1T08:11",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",0,,,12.6467017401862,0,0,,,,,,,,,,,,
"FPICO1T08:12",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,0.988742050233515,,,6.6929,,,,,,,,,
